Date,Open,High,Low,Close,Adj Close,Volume
2021-06-21,125.73999786376953,127.03675079345703,125.13424682617188,126.45500183105469,125.26850891113281,26256000
2021-06-22,126.44999694824219,127.2699966430664,126.02649688720703,126.99949645996094,125.8078842163086,20984000
2021-06-23,126.55000305175781,127.7959976196289,126.25199890136719,126.46150207519531,125.27493286132812,19694000
2021-06-24,127.05349731445312,127.5354995727539,126.95999908447266,127.28199768066406,126.08773803710938,18934000
2021-06-25,126.95700073242188,127.50499725341797,126.44400024414062,126.99500274658203,125.80343627929688,33484000
2021-06-28,127.0,127.33699798583984,125.97380065917969,126.81950378417969,125.62959289550781,28110000
2021-06-29,126.77249908447266,127.0,125.43699645996094,126.01850128173828,124.83609771728516,20950000
2021-06-30,125.65354919433594,125.80000305175781,124.75749969482422,125.31600189208984,124.14018249511719,24006000
2021-07-01,124.84974670410156,126.4625015258789,124.84974670410156,126.36849975585938,125.18280792236328,17120000
2021-07-02,126.8395004272461,128.84800720214844,126.76899719238281,128.718994140625,127.51123046875,21160000
2021-07-06,129.44949340820312,129.88450622558594,128.40899658203125,129.77099609375,128.55337524414062,21350000
2021-07-07,130.34100341796875,130.639892578125,129.75999450683594,130.07749938964844,128.85699462890625,16680000
2021-07-08,128.25,130.03250122070312,128.0399932861328,129.177001953125,127.9649658203125,19780000
2021-07-09,128.9445037841797,129.84950256347656,128.94349670410156,129.57449340820312,128.35873413085938,15106000
2021-07-12,129.83349609375,130.77000427246094,129.60000610351562,130.56399536132812,129.33895874023438,16944000
2021-07-13,130.88150024414062,132.04200744628906,130.63699340820312,130.9945068359375,129.76541137695312,16618000
2021-07-14,131.90150451660156,132.99600219726562,131.8979949951172,132.08250427246094,130.84320068359375,17912000
2021-07-15,132.5,132.59500122070312,130.59800720214844,131.26649475097656,130.03485107421875,16586000
2021-07-16,131.64100646972656,132.18299865722656,130.82150268554688,131.8455047607422,130.60842895507812,14856000
2021-07-19,131.15550231933594,131.2469940185547,128.53700256347656,129.25399780273438,128.04122924804688,25710000
2021-07-20,130.00399780273438,132.0013427734375,129.1884002685547,131.10150146484375,129.87142944335938,19084000
2021-07-21,130.78700256347656,132.61724853515625,130.60150146484375,132.60049438476562,131.35633850097656,14742000
2021-07-22,132.64999389648438,133.50450134277344,132.39999389648438,133.32850646972656,132.0775146484375,13608000
2021-07-23,135.25999450683594,138.80850219726562,134.70050048828125,137.8159942626953,136.52293395996094,26378000
2021-07-26,138.25,139.71299743652344,137.6510009765625,139.64450073242188,138.33424377441406,23052000
2021-07-27,140.01100158691406,140.01100158691406,135.10000610351562,136.79649353027344,135.51295471191406,42164000
2021-07-28,138.56199645996094,139.67599487304688,136.35000610351562,136.38150024414062,135.10189819335938,54688000
2021-07-29,136.38059997558594,137.15150451660156,136.13800048828125,136.54049682617188,135.2593536376953,19284000
2021-07-30,135.51100158691406,135.77134704589844,134.81419372558594,135.2209930419922,133.9522705078125,23954000
2021-08-02,135.4844970703125,136.02049255371094,134.66949462890625,135.989501953125,134.71356201171875,20140000
2021-08-03,136.0,136.3354949951172,134.18350219726562,136.27999877929688,135.0012969970703,19064000
2021-08-04,136.24949645996094,136.53799438476562,135.4149932861328,136.02850341796875,134.752197265625,16528000
2021-08-05,136.02850341796875,136.9499969482422,135.60000610351562,136.94000244140625,135.65512084960938,11866000
2021-08-06,136.2949981689453,137.08004760742188,136.04649353027344,137.03599548339844,135.75021362304688,13560000
2021-08-09,136.94900512695312,138.32150268554688,136.4287567138672,138.0019989013672,136.70716857910156,12374000
2021-08-10,138.07949829101562,138.55149841308594,137.22650146484375,138.09649658203125,136.80079650878906,16034000
2021-08-11,138.2830047607422,138.84774780273438,137.35000610351562,137.6894989013672,136.39756774902344,15204000
2021-08-12,137.71299743652344,138.41799926757812,136.7790069580078,138.38949584960938,137.09100341796875,14646000
2021-08-13,138.3574981689453,138.6739959716797,138.0050048828125,138.406005859375,137.10736083984375,12580000
2021-08-16,138.0,138.99049377441406,136.16575622558594,138.91600036621094,137.61257934570312,18040000
2021-08-17,138.1909942626953,138.718505859375,136.78750610351562,137.30050659179688,136.0122528076172,21272000
2021-08-18,137.11549377441406,138.29400634765625,136.42100524902344,136.57000732421875,135.2886199951172,14934000
2021-08-19,135.46749877929688,137.45199584960938,135.3560028076172,136.9134979248047,135.6288604736328,18296000
2021-08-20,137.08299255371094,138.614501953125,136.4669952392578,138.43699645996094,137.13809204101562,15564000
2021-08-23,138.99850463867188,142.177001953125,138.74795532226562,141.09950256347656,139.77560424804688,21090000
2021-08-24,141.5435028076172,143.00750732421875,141.35350036621094,142.39849853515625,141.06239318847656,15126000
2021-08-25,142.88299560546875,143.31300354003906,142.4394989013672,142.9499969482422,141.60873413085938,12838000
2021-08-26,142.61849975585938,143.13479614257812,142.0915069580078,142.1230010986328,140.78948974609375,14922000
2021-08-27,142.1125030517578,145.01100158691406,142.02000427246094,144.55050659179688,143.19422912597656,24562000
2021-08-30,144.70449829101562,146.489501953125,144.60000610351562,145.46949768066406,144.1045684814453,16916000
2021-08-31,145.88450622558594,146.11199951171875,145.0,145.46200561523438,144.09718322753906,26756000
2021-09-01,145.64999389648438,146.82049560546875,145.614501953125,145.8419952392578,144.47361755371094,15824000
2021-09-02,145.94949340820312,146.3249969482422,144.10650634765625,144.218994140625,142.8658447265625,21844000
2021-09-03,144.14599609375,145.3769989013672,143.5050048828125,144.77499389648438,143.4165802001953,19104000
2021-09-07,144.74949645996094,145.82400512695312,144.54100036621094,145.5189971923828,144.1536102294922,15170000
2021-09-08,145.39349365234375,145.55099487304688,144.1999969482422,144.8834991455078,143.52407836914062,15486000
2021-09-09,144.8834991455078,145.66949462890625,144.4340057373047,144.9134979248047,143.5537872314453,14798000
2021-09-10,145.44349670410156,146.0189971923828,141.7415008544922,141.92100524902344,140.58938598632812,32896000
2021-09-13,143.2010040283203,144.1909942626953,142.28250122070312,143.46499633789062,142.11891174316406,20176000
